   k      z      dz     pres   presi   Tabs     tp     tpl      qt      Qc     Qi    REL
 427  2537.50    5.00  760.64  760.87  280.76  303.60  303.60  3.9584  0.0000  0.0000   45.72
 426  2532.50    5.00  761.10  761.33  280.79  303.58  303.58  3.9724  0.0000  0.0000   45.81
 425  2527.50    5.00  761.56  761.79  280.82  303.56  303.56  3.9865  0.0000  0.0000   45.91
 424  2522.50    5.00  762.02  762.25  280.85  303.54  303.54  4.0005  0.0000  0.0000   46.00
 423  2517.50    5.00  762.48  762.72  280.88  303.52  303.52  4.0145  0.0000  0.0000   46.10
 422  2512.50    5.00  762.95  763.18  280.91  303.50  303.50  4.0286  0.0000  0.0000   46.19
 421  2507.50    5.00  763.41  763.64  280.94  303.48  303.48  4.0426  0.0000  0.0000   46.28
 420  2502.50    5.00  763.87  764.11  280.97  303.46  303.46  4.0566  0.0000  0.0000   46.38
 419  2497.50    5.00  764.34  764.57  281.00  303.44  303.44  4.0707  0.0000  0.0000   46.47
 418  2492.50    5.00  764.80  765.03  281.03  303.42  303.42  4.0847  0.0000  0.0000   46.56
 417  2487.50    5.00  765.27  765.50  281.06  303.40  303.40  4.0987  0.0000  0.0000   46.65
 416  2482.50    5.00  765.73  765.96  281.09  303.38  303.38  4.1127  0.0000  0.0000   46.75
 415  2477.50    5.00  766.19  766.43  281.12  303.36  303.36  4.1268  0.0000  0.0000   46.84
 414  2472.50    5.00  766.66  766.89  281.15  303.34  303.34  4.1408  0.0000  0.0000   46.93
 413  2467.50    5.00  767.12  767.36  281.18  303.32  303.32  4.1548  0.0000  0.0000   47.02
 412  2462.50    5.00  767.59  767.82  281.21  303.30  303.30  4.1689  0.0000  0.0000   47.11
 411  2457.50    5.00  768.05  768.29  281.24  303.28  303.28  4.1829  0.0000  0.0000   47.20
 410  2452.50    5.00  768.52  768.75  281.27  303.26  303.26  4.1969  0.0000  0.0000   47.29
 409  2447.50    5.00  768.99  769.22  281.30  303.24  303.24  4.2110  0.0000  0.0000   47.38
 408  2442.50    5.00  769.45  769.69  281.33  303.22  303.22  4.2250  0.0000  0.0000   47.47
 407  2437.50    5.00  769.92  770.15  281.36  303.20  303.20  4.2390  0.0000  0.0000   47.55
 406  2432.50    5.00  770.39  770.62  281.39  303.18  303.18  4.2531  0.0000  0.0000   47.64
 405  2427.50    5.00  770.85  771.09  281.42  303.16  303.16  4.2671  0.0000  0.0000   47.73
 404  2422.50    5.00  771.32  771.55  281.45  303.14  303.14  4.2811  0.0000  0.0000   47.82
 403  2417.50    5.00  771.79  772.02  281.48  303.12  303.12  4.2951  0.0000  0.0000   47.90
 402  2412.50    5.00  772.25  772.49  281.51  303.10  303.10  4.3092  0.0000  0.0000   47.99
 401  2407.50    5.00  772.72  772.96  281.54  303.08  303.08  4.3232  0.0000  0.0000   48.08
 400  2402.50    5.00  773.19  773.42  281.57  303.06  303.06  4.3372  0.0000  0.0000   48.16
 399  2397.50    5.00  773.66  773.89  281.60  303.04  303.04  4.3513  0.0000  0.0000   48.25
 398  2392.50    5.00  774.13  774.36  281.63  303.02  303.02  4.3653  0.0000  0.0000   48.34
